model_name,feature_set,auc_score,acceptance_rate,threshold,actual_bad_rate,n_features,model
Linear_Regression,all,0.7631665583524874,0.8252442970261613,0.47127817013110973,0.049985223130726036,381,LinearRegressionClassifier()
Linear_Regression,traditional,0.7265823586571207,0.7642554021755036,0.42314711120639736,0.04999574504297507,334,LinearRegressionClassifier()
Linear_Regression,alternative,0.7286154305865349,0.7692632879696926,0.4189738361373019,0.049987318227933716,47,LinearRegressionClassifier()
Logistic_Regression,all,0.7620444245236128,0.8256507812627026,0.47461775528123445,0.05,381,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic_Regression,traditional,0.7253511536430844,0.7638814366778857,0.4128028923803074,0.049998935739979995,334,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic_Regression,alternative,0.7285863134694639,0.7708729655463961,0.41190232343039457,0.049988399316614286,47,"LogisticRegression(max_iter=1000, random_state=42)"
Decision_Tree,all,0.7033734656871687,0.7181600897517194,0.18888317035512095,0.049989811858996126,381,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision_Tree,traditional,0.6381353385403224,0.4966424402061688,0.11646586345381527,0.049991815354395154,334,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision_Tree,alternative,0.6997433429528294,0.7216558541859747,0.3367816091954023,0.049995493871665464,47,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Random_Forest,all,0.740346488527692,0.7782059411736013,0.30132909773756716,0.049997910659813634,381,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
Random_Forest,traditional,0.6831080786703285,0.6443262930263565,0.2446431614239677,0.04998990612698092,334,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
Random_Forest,alternative,0.7289870884012204,0.7675397948067574,0.38705739779142706,0.0499936448756514,47,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
Gradient_Boosting,all,0.7659239067686548,0.8270490870364047,0.15556325903076887,0.04999410215074903,381,"GradientBoostingClassifier(max_depth=5, random_state=42)"
Gradient_Boosting,traditional,0.7241642860168336,0.7545160398679739,0.1277159469568307,0.049994612649498976,334,"GradientBoostingClassifier(max_depth=5, random_state=42)"
Gradient_Boosting,alternative,0.7264618059195863,0.7634261743329593,0.26852251424995194,0.049986156369135094,47,"GradientBoostingClassifier(max_depth=5, random_state=42)"
LightGBM,all,0.7741792141723466,0.8397151358470318,0.15028765992245893,0.04999515926033498,381,"LGBMClassifier(random_state=42, verbose=-1)"
LightGBM,traditional,0.7387448386895328,0.781490333804855,0.12035754976836435,0.049995838881491346,334,"LGBMClassifier(random_state=42, verbose=-1)"
LightGBM,alternative,0.7234619822930453,0.7655398923629742,0.21106925883449973,0.049996814136737254,47,"LGBMClassifier(random_state=42, verbose=-1)"
Extra_Trees,all,0.7417648289521217,0.785051135716957,0.3528616387734011,0.049996893316488204,381,"ExtraTreesClassifier(max_depth=10, n_jobs=-1, random_state=42)"
Extra_Trees,traditional,0.6810360912962601,0.6271563988748516,0.29811802138775506,0.049984444674893706,334,"ExtraTreesClassifier(max_depth=10, n_jobs=-1, random_state=42)"
Extra_Trees,alternative,0.7290046740925913,0.7713770059997074,0.3910116419419817,0.04999789216306227,47,"ExtraTreesClassifier(max_depth=10, n_jobs=-1, random_state=42)"
TabNet,all,0.7300310475710674,0.7681576508463002,0.24425257742404938,0.049995766658199985,381,TabNetClassifier(epochs=30)
TabNet,traditional,0.6996722449626782,0.6940311854706275,0.2107268124818802,0.04999414314161883,334,TabNetClassifier(epochs=30)
TabNet,alternative,0.6946656468996228,0.6708941027266963,0.4795883595943451,0.04999757646260482,47,TabNetClassifier(epochs=30)
Wide_Deep,all,0.742172197850196,0.7844983171552607,0.15542365610599518,0.049990673381831746,381,WideDeepClassifier(epochs=30)
Wide_Deep,traditional,0.69775277556643,0.6840641919906346,0.13568419218063354,0.049985738733599544,334,WideDeepClassifier(epochs=30)
Wide_Deep,alternative,0.7296637821715466,0.7687104694079964,0.35806530714035034,0.04998096366174542,47,WideDeepClassifier(epochs=30)
MLP,all,0.678355768671407,0.6283433328455522,0.01799637717529729,0.049993530857808256,381,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
MLP,traditional,0.6567705909244723,0.5583955254215242,0.028452695563434723,0.04999563229770259,334,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
MLP,alternative,0.6680416279836674,0.5918410484041429,0.21142417910052633,0.05,47,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
SVM,all,0.7537753307073602,0.8103994927076728,0.6426654226268481,0.04999799365996549,381,"SGDClassifier(class_weight='balanced', loss='log_loss', random_state=42)"
SVM,traditional,0.7060337463592916,0.7102092580849715,0.5561258693012554,0.05,334,"SGDClassifier(class_weight='balanced', loss='log_loss', random_state=42)"
SVM,alternative,0.7273079532246614,0.770547778157163,0.5832682656739723,0.0499883944208816,47,"SGDClassifier(class_weight='balanced', loss='log_loss', random_state=42)"
